% 1. Title: Webscrape Database
% 
% 2. Sources:
%      (a) Avtor: Tadej Tomažin
%      (b) Podatki: https://www.avto.net/
%      (c) Datum: Januar, 2020
%
% 3. Instances: 200, all unique

@relation avtomobili

@attribute 'letnikAvto' numeric
@attribute 'nazivAvta' string
@attribute 'tehnicniPregled' string
@attribute 'prevozeniKilometri' numeric
@attribute 'barva' {bela,'svetlo modra','bordo rdeča metalik',modra,'svetlo siva','zelena metalik','svetlo modra metalik',svetlo siva metalik,'modra metalik','temno modra','beige metalik','rjava metalik','svetlo siva metalik','oranžna metalik','temno siva metalik','temno modra metalik','rdeča metalik',rdeča,'siva metalik','srebrna metalik','temno siva','temno zelena metalik','črna metalik','zlata metalik',srebrna,'bela metalik',črna}
@attribute 'cena' numeric
@attribute 'vrstaGoriva' {diesel_motor, bencinski_motor, elektro_pogon, hibridni_pogon}
@attribute 'oblikaAvta' string

@data
2010,'Volkswagen Polo 1.6 tdi',1/2021,110358,'temno siva metalik',5900,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2007,'Hyundai i30 1.6 CRDi GLS Style',1/2021,218000,'srebrna metalik',3450,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
?,'Renault Modus 1.2 TCE Night Day',4/2019,43000,?,4990,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2016,'Volkswagen Passat 2.0 TDI Highline.Usnje.Alkantara.PDC.Alu',6/2016,145000,'temno siva metalik',14750,diesel_motor,'karavan, 5 vr.'
2012,'Citroen C4 Grand Picasso 2.0 HDi Exclusive BMP',9/2020,220000,'svetlo siva metalik',6400,diesel_motor,'enoprostorec / van, 5 vr.'
2005,'Citroen C8 2.2 HDi 16V',3/2010,300865,'zelena metalik',1290,diesel_motor,'enoprostorec / van, 5 vr.'
2012,'Peugeot 508 SW 2.2 HDi FAP GT',12/2020,192400,'bela metalik',8999,diesel_motor,'karavan, 5 vr.'
2016,'Audi A6 2.0 TDI Ultra 191KM S-Tronic S-Line NAVI ALU 18',6/2020,138300,bela,22777,diesel_motor,'limuzina, 4 vr.'
2014,'BMW serija 1: 116d SportLine AVT NAVI',?,86000,'svetlo siva',13800,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2008,'Ford C-Max 1.6 TDCi Trend',5/2020,219000,'modra metalik',2850,diesel_motor,'enoprostorec / van, 5 vr.'
?,'Peugeot 308 LifeClass 1.6 16V VTi',2/2020,128000,'bordo rdeča metalik',5850,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2017,'BMW serija 5: 520d',6/2021,57000,'rjava metalik',31900,diesel_motor,'limuzina, 4 vr.'
2012,'Audi A3 Sportback 2.0 TDI DPF Ambition Xenon-led NAVI',3/2021,245608,'črna metalik',9499,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2005,'Chevrolet Lacetti 1.4 16V Star',1/2021,176000,'srebrna metalik',1450,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2006,'Honda Accord Tourer 2.0i-VTEC Sport',9/2020,198780,'modra metalik',2990,bencinski_motor,'karavan, 5 vr.'
2005,'Audi A6 Avant 4x4 2.7 V6 TDI-NAVI-XSENON-ALU-PDC',1/2020,299000,'črna metalik',3300,diesel_motor,'karavan, 5 vr.'
2010,'Hyundai ix35 4WD 2.0 CRDi Style',9/2020,136000,'bordo rdeča metalik',9590,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2009,'Toyota Auris 1.6 Luna',8/2020,100000,'svetlo modra',5100,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2006,'Fiat Croma 1.9 JTD Multijet Dynamic',7/2020,198000,'črna metalik',1650,diesel_motor,'karavan, 5 vr.'
2008,'Fiat Bravo 1.4 T-Jet Emotion',3/2020,163000,'črna metalik',3800,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2016,'Citroen C4 Picasso BlueHDi 120',11/2020,117449,'rjava metalik',10990,diesel_motor,'enoprostorec / van, 5 vr.'
?,'Seat Cordoba ',?,207000,?,450,bencinski_motor,'limuzina, 5 vr.'
2003,'Renault Clio 1.2 16V Billabong',10/2020,127800,'rdeča metalik',1290,bencinski_motor,'limuzina, 5 vr.'
2002,'Volkswagen Bora 1.9 TDI Comfortline',3/2002,280000,modra,1849,diesel_motor,'limuzina, 4 vr.'
2003,'Nissan X-Trail 2.2 dCi Elegance',1/2021,238000,metalik,2950,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2009,'Chevrolet Corvette COUPE 6.2 AUT.-HEAD UP-HI-Fi',6/2020,56883,bela,34990,bencinski_motor,'coupe, 3 vr.'
2018,'Mercedes-Benz E-Razred E Cabrio 200',8/2021,14000,'bela metalik',45000,bencinski_motor,'cabriolet, 2 vr.'
2004,'Audi A3 1.9 TDI Attraction',1/2020,278000,'črna metalik',3199,diesel_motor,'kombilimuzina / hatchback, 3 vr.'
2011,'Audi A6 2.0 TDI-BI-XENON-TEMPOMAT',8/2020,255000,črna,12900,diesel_motor,'limuzina, 4 vr.'
2005,'Mitsubishi Colt 1.1 Invite',1/2021,76000,metalik,2250,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2007,'Lancia Ypsilon 1.4i16V Argento Gloria',11/2007,157232,'svetlo modra metalik',1799,bencinski_motor,'kombilimuzina / hatchback, 3 vr.'
1979,'Mercedes-Benz W123 300d 5-st. menjalnik',10/2020,345000,bela,2790,diesel_motor,'limuzina, 4 vr.'
2010,'Peugeot 3008 Premium 1.6 HDi FAP',?,330000,?,3100,diesel_motor,'enoprostorec / van, 5 vr.'
2008,'Ford Focus Karavan 1.6 TDCi Trend',3/2020,201612,srebrna,2650,diesel_motor,'karavan, 5 vr.'
2003,'BMW serija 5: 530d-XENON',3/2019,270000,'črna metalik',3600,diesel_motor,'limuzina, 4 vr.'
2004,'Mercedes-Benz ML-Razred FINALY EDITION',10/2020,365732,'srebrna metalik',5500,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2011,'Renault Kangoo Style 1.5 dCi 90',4/2020,223000,bela,4800,diesel_motor,'enoprostorec / van, 5 vr.'
2010,'Volkswagen Touareg BlueMotion Tech. 3.0 V6 TDI Tiptronic',11/2020,257000,'črna metalik',19700,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2004,'Mercedes-Benz E-Razred E 200 CDI Classic',9/2020,?,'srebrna metalik',3350,diesel_motor,'limuzina, 4 vr.'
2018,'Seat Leon 2.0 TDI FR Start Stop',?,48000,bela,?,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
